,Job Title,min salary,max,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
1295,SWRMC Assessments Data Analyst,60000.00,124000.00,"San Diego, CA","Germantown, MD",10000+ employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
1296,Business Data Analyst III,60000.00,124000.00,"San Diego, CA","New York, NY",51 to 200 employees,2010,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1
1297,C4I Data Analyst/Engineer,60000.00,124000.00,"San Diego, CA","Chantilly, VA",10000+ employees,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1,-1
1298,Molecular Researcher and Data Analyst,60000.00,124000.00,"San Diego, CA","La Jolla, CA",10000+ employees,1960,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,-1
1299,Health Data Analyst IV,60000.00,124000.00,"San Diego, CA","San Diego, CA",1001 to 5000 employees,1989,Company - Private,Wholesale,Business Services,$10 to $25 million (USD),-1,-1
1300,Information Security and Data Privacy Analyst,60000.00,124000.00,"San Diego, CA","San Diego, CA",51 to 200 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
1301,IT DATA ANALYST- Information Technology,60000.00,124000.00,"El Cajon, CA","El Cajon, CA",1001 to 5000 employees,1983,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),"Viejas Casino, Barona Casino, Pechanga Resort & Casino",-1
1302,"7232 Data Engineer (Analyst/Programmer - Career), Information Technology DevOps",60000.00,124000.00,"San Diego, CA","Long Beach, CA",10000+ employees,1962,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1,-1
1303,Systems Analyst - Data Integration,60000.00,124000.00,"San Diego, CA","Edison, NJ",501 to 1000 employees,1990,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,-1
1304,Molecular Researcher and Data Analyst,60000.00,124000.00,"San Diego, CA","San Diego, CA",10000+ employees,1966,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Sharp HealthCare, Scripps Health",-1
1305,Data Analyst - EDSS,60000.00,124000.00,"San Diego, CA","Maryland Heights, MO",5001 to 10000 employees,1990,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Forsythe Technology, ePlus",-1
1306,Sr. Data Governance Analyst,60000.00,124000.00,"San Diego, CA","Aliso Viejo, CA",51 to 200 employees,2002,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1
1307,Data Manager - Bioinformatics Analyst (Naval Health Center),60000.00,124000.00,"San Diego, CA","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman",-1
1308,#104252 Division Data and Financial Analyst,34000.00,61000.00,"San Diego, CA","La Jolla, CA",10000+ employees,1960,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,-1
1309,Systems Analyst - Data Integration and ETL process,34000.00,61000.00,"San Diego, CA",-1,501 to 1000 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
1310,Senior Financial Data Analyst,34000.00,61000.00,"San Diego, CA","San Diego, CA",501 to 1000 employees,1986,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1,TRUE
1311,Sr. C4I Data Analyst/Engineer,34000.00,61000.00,"San Diego, CA","Chantilly, VA",10000+ employees,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1,-1
1312,Senior Tactical Data Link Systems Analyst,34000.00,61000.00,"San Diego, CA","Stafford, VA",51 to 200 employees,2004,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1
1313,Data Analyst I,24000.00,48000.00,"Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International",-1
1314,Data Analyst II,24000.00,48000.00,"Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International",-1
1315,Data Conversion Analyst,24000.00,48000.00,"Allen, TX","Ottawa, Canada",5001 to 10000 employees,1976,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$500 million to $1 billion (USD),Tyler Technologies,-1
1316,Data Analyst - Retail (Entry Level),24000.00,48000.00,"Arlington, TX","London, United Kingdom",10000+ employees,1994,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),"ALDI, Tesco, Carrefour",-1
1317,Data Analyst - Healthcare Fraud,24000.00,48000.00,"Dallas, TX","Easton, MD",501 to 1000 employees,1973,Nonprofit Organization,Consulting,Business Services,$50 to $100 million (USD),-1,-1
1318,Data Analyst Intern,24000.00,48000.00,"Dallas, TX","Dallas, TX",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1
1319,Data Analyst BHJOB11946_,24000.00,48000.00,"Dallas, TX","Chicago, IL",501 to 1000 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
